"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"6868",9,12,"disamb","fp",70,"disamb fp",4,0,192,192,-0.5,0.5
"6870",9,6,"disamb","fp",70,"disamb fp",2,0,248,248,0.5,0.5
"7687",10,23,"disamb","fp",63,"disamb fp",4,0,370,370,-0.5,0.5
"7689",10,18,"disamb","fp",63,"disamb fp",3,0,252,252,-0.5,-0.5
"7691",10,19,"disamb","fp",63,"disamb fp",4,0,204,204,-0.5,0.5
"7693",10,16,"disamb","fp",63,"disamb fp",1,0,922,922,0.5,-0.5
"7695",10,17,"disamb","fp",63,"disamb fp",2,0,258,258,0.5,0.5
"7697",10,1,"disamb","fp",63,"disamb fp",2,0,512,512,0.5,0.5
"7699",10,22,"disamb","fp",63,"disamb fp",3,0,404,404,-0.5,-0.5
"7701",10,20,"disamb","fp",63,"disamb fp",1,0,154,154,0.5,-0.5
"7703",10,14,"disamb","fp",63,"disamb fp",3,0,244,244,-0.5,-0.5
"7705",10,11,"disamb","fp",63,"disamb fp",4,0,340,340,-0.5,0.5
"7707",10,15,"disamb","fp",63,"disamb fp",4,0,430,430,-0.5,0.5
"7709",10,7,"disamb","fp",63,"disamb fp",4,0,640,640,-0.5,0.5
"7711",10,13,"disamb","fp",63,"disamb fp",2,0,392,392,0.5,0.5
"7713",10,24,"disamb","fp",63,"disamb fp",1,0,404,404,0.5,-0.5
"7715",10,8,"disamb","fp",63,"disamb fp",1,0,236,236,0.5,-0.5
"7717",10,3,"disamb","fp",63,"disamb fp",4,0,924,924,-0.5,0.5
"7719",10,6,"disamb","fp",63,"disamb fp",3,0,238,238,-0.5,-0.5
"7721",10,4,"disamb","fp",63,"disamb fp",1,0,212,212,0.5,-0.5
"7723",10,5,"disamb","fp",63,"disamb fp",2,0,242,242,0.5,0.5
"7725",10,21,"disamb","fp",63,"disamb fp",2,0,136,136,0.5,0.5
"7727",10,9,"disamb","fp",63,"disamb fp",2,0,218,218,0.5,0.5
"7729",10,2,"disamb","fp",63,"disamb fp",3,0,234,234,-0.5,-0.5
"7731",10,12,"disamb","fp",63,"disamb fp",1,0,172,172,0.5,-0.5
"7733",10,10,"disamb","fp",63,"disamb fp",3,0,188,188,-0.5,-0.5
"8551",11,3,"disamb","fp",75,"disamb fp",1,0,170,170,0.5,-0.5
"8553",11,18,"disamb","fp",75,"disamb fp",4,0,432,432,-0.5,0.5
"8555",11,24,"disamb","fp",75,"disamb fp",2,0,318,318,0.5,0.5
"8557",11,15,"disamb","fp",75,"disamb fp",1,0,380,380,0.5,-0.5
"8559",11,9,"disamb","fp",75,"disamb fp",3,0,326,326,-0.5,-0.5
"8561",11,10,"disamb","fp",75,"disamb fp",4,0,574,574,-0.5,0.5
"8563",11,2,"disamb","fp",75,"disamb fp",4,0,372,372,-0.5,0.5
"8565",11,19,"disamb","fp",75,"disamb fp",1,0,124,124,0.5,-0.5
