"","subject","item","region","measure","proficiency1","proficiency2","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"8859",11,22,"disamb","rp",75,-0.5,"disamb rp",4,0,200,200,-0.5,0.5,200
"8861",11,21,"disamb","rp",75,-0.5,"disamb rp",3,0,336,336,-0.5,-0.5,336
"8863",11,1,"disamb","rp",75,-0.5,"disamb rp",3,0,362,362,-0.5,-0.5,362
"8865",11,20,"disamb","rp",75,-0.5,"disamb rp",2,0,480,480,0.5,0.5,480
"8867",11,14,"disamb","rp",75,-0.5,"disamb rp",4,0,460,460,-0.5,0.5,460
"8869",11,17,"disamb","rp",75,-0.5,"disamb rp",3,0,244,244,-0.5,-0.5,244
"8871",11,4,"disamb","rp",75,-0.5,"disamb rp",2,0,354,354,0.5,0.5,354
"8873",11,11,"disamb","rp",75,-0.5,"disamb rp",1,0,660,660,0.5,-0.5,660
"8875",11,6,"disamb","rp",75,-0.5,"disamb rp",4,0,302,302,-0.5,0.5,302
"8877",11,8,"disamb","rp",75,-0.5,"disamb rp",2,0,354,354,0.5,0.5,354
"8879",11,23,"disamb","rp",75,-0.5,"disamb rp",1,0,848,848,0.5,-0.5,848
"8881",11,5,"disamb","rp",75,-0.5,"disamb rp",3,0,350,350,-0.5,-0.5,350
"8883",11,7,"disamb","rp",75,-0.5,"disamb rp",1,0,2204,2204,0.5,-0.5,2204
"8885",11,13,"disamb","rp",75,-0.5,"disamb rp",3,0,356,356,-0.5,-0.5,356
"9703",12,14,"disamb","rp",63,0.5,"disamb rp",3,0,277,277,-0.5,-0.5,277
"9705",12,7,"disamb","rp",63,0.5,"disamb rp",4,0,473,473,-0.5,0.5,473
"9707",12,11,"disamb","rp",63,0.5,"disamb rp",4,0,368,368,-0.5,0.5,368
"9709",12,19,"disamb","rp",63,0.5,"disamb rp",4,1,0,NA,-0.5,0.5,NA
"9711",12,24,"disamb","rp",63,0.5,"disamb rp",1,0,787,787,0.5,-0.5,787
"9713",12,18,"disamb","rp",63,0.5,"disamb rp",3,0,175,175,-0.5,-0.5,175
"9715",12,15,"disamb","rp",63,0.5,"disamb rp",4,0,229,229,-0.5,0.5,229
"9717",12,20,"disamb","rp",63,0.5,"disamb rp",1,0,150,150,0.5,-0.5,150
"9719",12,22,"disamb","rp",63,0.5,"disamb rp",3,1,0,NA,-0.5,-0.5,NA
"9721",12,23,"disamb","rp",63,0.5,"disamb rp",4,0,546,546,-0.5,0.5,546
"9723",12,2,"disamb","rp",63,0.5,"disamb rp",3,0,172,172,-0.5,-0.5,172
"9725",12,6,"disamb","rp",63,0.5,"disamb rp",3,0,266,266,-0.5,-0.5,266
"9727",12,3,"disamb","rp",63,0.5,"disamb rp",4,0,207,207,-0.5,0.5,207
"9729",12,4,"disamb","rp",63,0.5,"disamb rp",1,0,905,905,0.5,-0.5,905
"9731",12,9,"disamb","rp",63,0.5,"disamb rp",2,0,223,223,0.5,0.5,223
"9733",12,1,"disamb","rp",63,0.5,"disamb rp",2,0,483,483,0.5,0.5,483
"9735",12,13,"disamb","rp",63,0.5,"disamb rp",2,0,218,218,0.5,0.5,218
"9737",12,16,"disamb","rp",63,0.5,"disamb rp",1,0,193,193,0.5,-0.5,193
"9739",12,8,"disamb","rp",63,0.5,"disamb rp",1,0,741,741,0.5,-0.5,741
