"","subject","item","region","measure","sort","condition","skips","rawdata","nozero","proficiency","ambiguity","continuation","trimmed_nozero"
"525",12,33,"disamb","fp","disamb fp",6,0,309,309,71,-0.5,-0.5,309
"527",12,34,"disamb","fp","disamb fp",7,0,208,208,71,0.5,0.5,208
"529",12,43,"disamb","fp","disamb fp",8,0,226,226,71,-0.5,0.5,226
"531",12,35,"disamb","fp","disamb fp",8,0,565,565,71,-0.5,0.5,565
"533",12,38,"disamb","fp","disamb fp",7,0,195,195,71,0.5,0.5,195
"535",12,44,"disamb","fp","disamb fp",5,0,200,200,71,0.5,-0.5,200
"537",12,25,"disamb","fp","disamb fp",6,0,164,164,71,-0.5,-0.5,164
"539",12,36,"disamb","fp","disamb fp",5,0,476,476,71,0.5,-0.5,476
"541",12,28,"disamb","fp","disamb fp",5,0,138,138,71,0.5,-0.5,138
"543",12,31,"disamb","fp","disamb fp",8,0,125,125,71,-0.5,0.5,125
"545",12,29,"disamb","fp","disamb fp",6,0,136,136,71,-0.5,-0.5,136
"547",12,30,"disamb","fp","disamb fp",7,0,246,246,71,0.5,0.5,246
"549",12,45,"disamb","fp","disamb fp",6,0,288,288,71,-0.5,-0.5,288
"551",12,27,"disamb","fp","disamb fp",8,0,448,448,71,-0.5,0.5,448
"553",12,46,"disamb","fp","disamb fp",7,1,0,NA,71,0.5,0.5,NA
"555",12,41,"disamb","fp","disamb fp",6,0,333,333,71,-0.5,-0.5,333
"557",12,37,"disamb","fp","disamb fp",6,0,303,303,71,-0.5,-0.5,303
"559",12,32,"disamb","fp","disamb fp",5,0,216,216,71,0.5,-0.5,216
"561",12,42,"disamb","fp","disamb fp",7,0,505,505,71,0.5,0.5,505
"563",12,47,"disamb","fp","disamb fp",8,0,226,226,71,-0.5,0.5,226
"565",12,48,"disamb","fp","disamb fp",5,1,0,NA,71,0.5,-0.5,NA
"567",12,39,"disamb","fp","disamb fp",8,1,0,NA,71,-0.5,0.5,NA
"569",12,26,"disamb","fp","disamb fp",7,0,217,217,71,0.5,0.5,217
"571",12,40,"disamb","fp","disamb fp",5,0,199,199,71,0.5,-0.5,199
"572",13,47,"disamb","fp","disamb fp",6,0,326,326,71,-0.5,-0.5,326
"574",13,27,"disamb","fp","disamb fp",6,0,794,794,71,-0.5,-0.5,794
"576",13,41,"disamb","fp","disamb fp",8,0,548,548,71,-0.5,0.5,548
"578",13,35,"disamb","fp","disamb fp",6,0,454,454,71,-0.5,-0.5,454
"580",13,37,"disamb","fp","disamb fp",8,0,520,520,71,-0.5,0.5,520
"582",13,43,"disamb","fp","disamb fp",6,0,546,546,71,-0.5,-0.5,546
"584",13,44,"disamb","fp","disamb fp",7,0,770,770,71,0.5,0.5,770
"586",13,46,"disamb","fp","disamb fp",5,0,510,510,71,0.5,-0.5,510
"588",13,25,"disamb","fp","disamb fp",8,0,1344,1344,71,-0.5,0.5,NA
"590",13,30,"disamb","fp","disamb fp",5,0,474,474,71,0.5,-0.5,474
"592",13,29,"disamb","fp","disamb fp",8,0,428,428,71,-0.5,0.5,428
"594",13,31,"disamb","fp","disamb fp",6,0,220,220,71,-0.5,-0.5,220
"596",13,38,"disamb","fp","disamb fp",5,0,566,566,71,0.5,-0.5,566
"598",13,32,"disamb","fp","disamb fp",7,0,758,758,71,0.5,0.5,758
"600",13,34,"disamb","fp","disamb fp",5,0,416,416,71,0.5,-0.5,416
"602",13,26,"disamb","fp","disamb fp",5,0,370,370,71,0.5,-0.5,370
"604",13,39,"disamb","fp","disamb fp",6,0,348,348,71,-0.5,-0.5,348
"606",13,33,"disamb","fp","disamb fp",8,0,376,376,71,-0.5,0.5,376
"608",13,36,"disamb","fp","disamb fp",7,0,310,310,71,0.5,0.5,310
"610",13,48,"disamb","fp","disamb fp",7,0,486,486,71,0.5,0.5,486
"612",13,40,"disamb","fp","disamb fp",7,0,720,720,71,0.5,0.5,720
"614",13,45,"disamb","fp","disamb fp",8,0,452,452,71,-0.5,0.5,452
"616",13,42,"disamb","fp","disamb fp",5,0,614,614,71,0.5,-0.5,614
"618",13,28,"disamb","fp","disamb fp",7,0,492,492,71,0.5,0.5,492
"621",14,41,"disamb","fp","disamb fp",5,0,584,584,71,0.5,-0.5,584
"623",14,34,"disamb","fp","disamb fp",6,0,316,316,71,-0.5,-0.5,316
"625",14,35,"disamb","fp","disamb fp",7,0,204,204,71,0.5,0.5,204
"627",14,27,"disamb","fp","disamb fp",7,0,686,686,71,0.5,0.5,686
"629",14,44,"disamb","fp","disamb fp",8,0,244,244,71,-0.5,0.5,244
"631",14,33,"disamb","fp","disamb fp",5,0,290,290,71,0.5,-0.5,290
