"","X","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"244",23527,"Native",11,38,"disamb","tt","disamb tt",8,0,664,664,0.5,0.5
"245",23529,"Native",11,26,"disamb","tt","disamb tt",8,0,214,214,0.5,0.5
"246",23531,"Native",11,42,"disamb","tt","disamb tt",8,0,890,890,0.5,0.5
"247",23533,"Native",11,46,"disamb","tt","disamb tt",8,0,608,608,0.5,0.5
"248",23535,"Native",11,41,"disamb","tt","disamb tt",7,0,556,556,0.5,0.5
"249",23537,"Native",11,31,"disamb","tt","disamb tt",5,0,398,398,0.5,0.5
"250",23539,"Native",11,45,"disamb","tt","disamb tt",7,0,896,896,0.5,0.5
"251",23541,"Native",11,35,"disamb","tt","disamb tt",5,0,708,708,0.5,0.5
"252",23543,"Native",11,32,"disamb","tt","disamb tt",6,0,1518,1518,0.5,0.5
"253",23545,"Native",11,47,"disamb","tt","disamb tt",5,0,324,324,0.5,0.5
"254",23547,"Native",11,36,"disamb","tt","disamb tt",6,0,402,402,0.5,0.5
"255",23549,"Native",11,25,"disamb","tt","disamb tt",7,0,98,98,0.5,0.5
"256",23551,"Native",11,30,"disamb","tt","disamb tt",8,0,672,672,0.5,0.5
"257",23553,"Native",11,40,"disamb","tt","disamb tt",6,0,404,404,0.5,0.5
"258",23555,"Native",11,48,"disamb","tt","disamb tt",6,0,680,680,0.5,0.5
"259",23557,"Native",11,29,"disamb","tt","disamb tt",7,0,424,424,0.5,0.5
"260",23559,"Native",11,27,"disamb","tt","disamb tt",5,0,678,678,0.5,0.5
"261",23561,"Native",11,33,"disamb","tt","disamb tt",7,0,410,410,0.5,0.5
"262",23563,"Native",11,39,"disamb","tt","disamb tt",5,0,672,672,0.5,0.5
"263",23565,"Native",11,28,"disamb","tt","disamb tt",6,0,326,326,0.5,0.5
"264",23567,"Native",11,44,"disamb","tt","disamb tt",6,0,434,434,0.5,0.5
"265",23569,"Native",12,37,"disamb","tt","disamb tt",6,0,377,377,0.5,0.5
"266",23571,"Native",12,43,"disamb","tt","disamb tt",8,0,1030,1030,0.5,0.5
"267",23573,"Native",12,25,"disamb","tt","disamb tt",6,0,168,168,0.5,0.5
"268",23575,"Native",12,26,"disamb","tt","disamb tt",7,0,876,876,0.5,0.5
"269",23577,"Native",12,46,"disamb","tt","disamb tt",7,1,0,NA,0.5,0.5
"270",23579,"Native",12,31,"disamb","tt","disamb tt",8,0,521,521,0.5,0.5
"271",23581,"Native",12,39,"disamb","tt","disamb tt",8,0,322,322,0.5,0.5
"272",23583,"Native",12,38,"disamb","tt","disamb tt",7,0,336,336,0.5,0.5
"273",23585,"Native",12,27,"disamb","tt","disamb tt",8,0,572,572,0.5,0.5
"274",23587,"Native",12,41,"disamb","tt","disamb tt",6,0,456,456,0.5,0.5
"275",23589,"Native",12,29,"disamb","tt","disamb tt",6,0,430,430,0.5,0.5
"276",23591,"Native",12,35,"disamb","tt","disamb tt",8,0,983,983,0.5,0.5
"277",23593,"Native",12,40,"disamb","tt","disamb tt",5,0,461,461,0.5,0.5
"278",23595,"Native",12,33,"disamb","tt","disamb tt",6,0,412,412,0.5,0.5
"279",23597,"Native",12,36,"disamb","tt","disamb tt",5,0,165,165,0.5,0.5
"280",23599,"Native",12,47,"disamb","tt","disamb tt",8,0,282,282,0.5,0.5
"281",23601,"Native",12,34,"disamb","tt","disamb tt",7,0,152,152,0.5,0.5
"282",23603,"Native",12,48,"disamb","tt","disamb tt",5,0,883,883,0.5,0.5
"283",23605,"Native",12,32,"disamb","tt","disamb tt",5,0,429,429,0.5,0.5
"284",23607,"Native",12,42,"disamb","tt","disamb tt",7,0,383,383,0.5,0.5
"285",23609,"Native",12,30,"disamb","tt","disamb tt",7,0,565,565,0.5,0.5
"286",23611,"Native",12,28,"disamb","tt","disamb tt",5,0,209,209,0.5,0.5
"287",23613,"Native",12,44,"disamb","tt","disamb tt",5,0,792,792,0.5,0.5
"288",23615,"Native",12,45,"disamb","tt","disamb tt",6,0,321,321,0.5,0.5
"289",23618,"Native",13,34,"disamb","tt","disamb tt",5,0,1385,1385,0.5,0.5
"290",23620,"Native",13,27,"disamb","tt","disamb tt",6,0,1028,1028,0.5,0.5
"291",23622,"Native",13,39,"disamb","tt","disamb tt",6,0,963,963,0.5,0.5
"292",23624,"Native",13,40,"disamb","tt","disamb tt",7,0,276,276,0.5,0.5
"293",23626,"Native",13,32,"disamb","tt","disamb tt",7,0,200,200,0.5,0.5
"294",23628,"Native",13,46,"disamb","tt","disamb tt",5,0,313,313,0.5,0.5
"295",23630,"Native",13,41,"disamb","tt","disamb tt",8,0,325,325,0.5,0.5
"296",23632,"Native",13,33,"disamb","tt","disamb tt",8,0,366,366,0.5,0.5
"297",23634,"Native",13,45,"disamb","tt","disamb tt",8,1,0,NA,0.5,0.5
"298",23636,"Native",13,36,"disamb","tt","disamb tt",7,0,584,584,0.5,0.5
"299",23638,"Native",13,43,"disamb","tt","disamb tt",6,0,723,723,0.5,0.5
"300",23640,"Native",13,42,"disamb","tt","disamb tt",5,0,681,681,0.5,0.5
"301",23642,"Native",13,37,"disamb","tt","disamb tt",8,1,0,NA,0.5,0.5
"302",23644,"Native",13,29,"disamb","tt","disamb tt",8,0,1017,1017,0.5,0.5
"303",23646,"Native",13,48,"disamb","tt","disamb tt",7,0,567,567,0.5,0.5
"304",23648,"Native",13,44,"disamb","tt","disamb tt",7,0,1306,1306,0.5,0.5
"305",23650,"Native",13,47,"disamb","tt","disamb tt",6,0,474,474,0.5,0.5
"306",23652,"Native",13,35,"disamb","tt","disamb tt",6,1,0,NA,0.5,0.5
"307",23654,"Native",13,30,"disamb","tt","disamb tt",5,0,169,169,0.5,0.5
"308",23656,"Native",13,26,"disamb","tt","disamb tt",5,0,210,210,0.5,0.5
"309",23658,"Native",13,25,"disamb","tt","disamb tt",8,0,380,380,0.5,0.5
"310",23660,"Native",13,38,"disamb","tt","disamb tt",5,0,1012,1012,0.5,0.5
